id,paperid,quesno,score,answer,answerHas
557,10,50,0,B,2
558,10,51,0,D,8
559,10,52,0,B,2
560,10,53,0,A,1
561,10,54,0,C,4
562,10,55,0,A,1
563,10,56,0,A,1
564,10,57,0,B,2
565,10,58,0,C,4
566,10,59,0,D,8
567,10,60,0,C,4
568,11,1,0,B,2
569,11,2,0,A,1
570,11,3,0,A,1
571,11,4,0,C,4
572,11,5,0,C,4
573,11,6,0,A,1
574,11,7,0,B,2
575,11,8,0,B,2
576,11,9,0,B,2
577,11,10,0,A,1
578,11,11,0,B,2
579,11,12,0,B,2
580,11,13,0,B,2
581,11,14,0,C,4
582,11,15,0,B,2
583,11,16,0,B,2
584,11,17,0,B,2
585,11,18,0,A,1
586,11,19,0,B,2
587,11,20,0,C,4
588,11,21,0,D,8
589,11,22,0,C,4
590,11,23,0,B,2
591,11,24,0,C,4
592,11,25,0,A,1
593,11,26,0,C,4
594,11,27,0,B,2
595,11,28,0,B,2
596,11,29,0,C,4
597,11,30,0,D,8
598,11,31,0,B,2
599,11,32,0,C,4
600,11,33,0,D,8
601,11,35,0,B,2
602,11,36,0,B,2
603,11,40,0,F,32
604,11,41,0,D,8
605,11,42,0,A,1
606,11,43,0,A,1
607,11,44,0,C,4
608,11,45,0,D,8
609,11,46,0,B,2
610,11,47,0,A,1
611,11,48,0,D,8
612,11,49,0,B,2
613,11,50,0,C,4
614,11,52,0,D,8
615,11,53,0,C,4
616,11,54,0,B,2
617,11,55,0,A,1
618,11,57,0,C,4
619,11,58,0,C,4
620,11,59,0,AB,3
621,11,60,0,D,8
622,12,1,0,C,4
623,12,2,0,B,2
624,12,3,0,B,2
625,12,4,0,A,1
626,12,5,0,B,2
627,12,6,0,A,1
628,12,7,0,B,2
629,12,8,0,C,4
630,12,9,0,B,2
631,12,10,0,A,1
632,12,11,0,B,2
633,12,12,0,A,1
634,12,13,0,B,2
635,12,14,0,B,2
636,12,15,0,A,1
637,12,16,0,C,4
638,12,17,0,A,1
639,12,18,0,A,1
640,12,19,0,A,1
641,12,20,0,C,4
642,12,21,0,D,8
643,12,22,0,B,2
644,12,23,0,D,8
645,12,24,0,A,1
646,12,25,0,B,2
647,12,26,0,D,8
648,12,27,0,C,4
649,12,28,0,A,1
650,12,29,0,D,8
651,12,31,0,B,2
652,12,32,0,C,4
653,12,33,0,A,1
654,12,34,0,D,8
655,12,35,0,D,8
656,12,36,0,F,32
657,12,37,0,C,4
658,12,38,0,B,2
659,12,40,0,E,16
660,12,41,0,D,8
661,12,42,0,D,8
662,12,43,0,B,2
663,12,44,0,C,4
664,12,45,0,C,4
665,12,46,0,A,1
666,12,47,0,B,2
667,12,48,0,C,4
668,12,49,0,D,8
669,12,51,0,D,8
670,12,52,0,B,2
671,12,53,0,A,1
672,12,54,0,C,4
673,12,56,0,C,4
674,12,57,0,B,2
675,12,58,0,B,2
676,12,59,0,C,4
677,13,1,0,B,2
678,13,2,0,A,1
679,13,3,0,B,2
680,13,4,0,A,1
681,13,5,0,B,2
682,13,6,0,B,2
683,13,7,0,C,4
684,13,8,0,C,4
685,13,9,0,B,2
686,13,11,0,A,1
687,13,12,0,A,1
688,13,13,0,B,2
689,13,14,0,C,4
690,13,15,0,A,1
691,13,16,0,C,4
692,13,17,0,B,2
693,13,18,0,A,1
694,13,19,0,B,2
695,13,20,0,C,4
696,13,21,0,A,1
697,13,22,0,B,2
698,13,23,0,C,4
699,13,24,0,A,1
700,13,25,0,A,1
701,13,26,0,C,4
702,13,27,0,C,4
703,13,28,0,A,1
704,13,29,0,B,2
705,13,30,0,C,4
706,13,31,0,D,8
707,13,32,0,D,8
708,13,33,0,C,4
709,13,34,0,B,2
710,13,35,0,D,8
711,13,36,0,DE,24
712,13,37,0,C,4
713,13,38,0,F,32
714,13,40,0,E,16
715,13,41,0,D,8
716,13,42,0,A,1
717,13,43,0,B,2
718,13,44,0,C,4
719,13,45,0,C,4
720,13,46,0,B,2
721,13,47,0,B,2
722,13,48,0,C,4
723,13,49,0,B,2
724,13,51,0,C,4
725,13,52,0,B,2
726,13,53,0,A,1
727,13,54,0,C,4
728,13,55,0,B,2
729,13,56,0,A,1
730,13,57,0,B,2
731,13,58,0,C,4
732,13,59,0,D,8
733,13,60,0,C,4
734,14,1,0,A,1
735,14,2,0,B,2
736,14,3,0,C,4
737,14,4,0,A,1
738,14,5,0,B,2
739,14,6,0,A,1
740,14,7,0,B,2
741,14,8,0,C,4
742,14,9,0,B,2
743,14,11,0,A,1
744,14,12,0,B,2
745,14,13,0,B,2
746,14,14,0,B,2
747,14,15,0,C,4
748,14,16,0,C,4
749,14,17,0,B,2
750,14,21,0,A,1
751,14,22,0,B,2
